GO_terms	p-value	description
GO:0006457	6.98091795696794e-16	protein folding
GO:0031323	2.7865000635277234e-12	regulation of cellular metabolic process
GO:0061077	3.234422781672431e-11	chaperone-mediated protein folding
GO:0035966	7.08529418293063e-11	response to topologically incorrect protein
GO:0080090	1.536991495954564e-10	regulation of primary metabolic process
GO:0006986	3.829860326080222e-10	response to unfolded protein
GO:0042221	5.15036674619204e-10	response to chemical
GO:0051171	2.4424057575776774e-09	regulation of nitrogen compound metabolic process
GO:0009889	1.184601015724251e-08	regulation of biosynthetic process
GO:0010556	9.352801127531839e-08	regulation of macromolecule biosynthetic process
GO:0071495	1.425888975480558e-07	cellular response to endogenous stimulus
GO:0031326	2.0319125188595768e-07	regulation of cellular biosynthetic process
GO:0008152	2.9270267224709626e-07	metabolic process
GO:0051716	6.095434860378882e-07	cellular response to stimulus
GO:0051172	6.390064063921298e-07	negative regulation of nitrogen compound metabolic process
GO:0044249	7.187956678026501e-07	cellular biosynthetic process
GO:0010033	8.948990332755607e-07	response to organic substance
GO:0031325	1.1048468151181127e-06	positive regulation of cellular metabolic process
GO:0009058	1.3068011625963744e-06	biosynthetic process
GO:1901564	1.4559597214740943e-06	organonitrogen compound metabolic process
GO:1901576	1.5839360639260391e-06	organic substance biosynthetic process
GO:0051338	5.134005687160797e-06	regulation of transferase activity
GO:0051085	5.423493824469928e-06	chaperone cofactor-dependent protein refolding
GO:0048523	6.834739506729774e-06	negative regulation of cellular process
GO:0019219	8.11483401243527e-06	regulation of nucleobase-containing compound metabolic process
GO:0070887	8.442514094407893e-06	cellular response to chemical stimulus
GO:0006458	8.555120956391923e-06	'de novo' protein folding
GO:0010557	9.77967675957759e-06	positive regulation of macromolecule biosynthetic process
GO:0071704	1.1097181399289748e-05	organic substance metabolic process
GO:0009891	1.1601168880036899e-05	positive regulation of biosynthetic process
GO:0044237	1.4456487512542639e-05	cellular metabolic process
GO:0009719	1.744864959459465e-05	response to endogenous stimulus
GO:0031324	2.72763010478765e-05	negative regulation of cellular metabolic process
GO:0051084	2.8076500003105654e-05	'de novo' post-translational protein folding
GO:0065009	3.181230602123019e-05	regulation of molecular function
GO:0044238	3.5850070416800724e-05	primary metabolic process
GO:0031328	3.884028909589764e-05	positive regulation of cellular biosynthetic process
GO:0051252	5.2751248499723e-05	regulation of RNA metabolic process
GO:0006807	7.052506200492908e-05	nitrogen compound metabolic process
GO:0045935	0.00010266694806815523	positive regulation of nucleobase-containing compound metabolic process
GO:0042325	0.00010593801951843529	regulation of phosphorylation
GO:0014070	0.00012334570801609803	response to organic cyclic compound
GO:0009893	0.00013130439765709047	positive regulation of metabolic process
GO:0009059	0.00015726568037013875	macromolecule biosynthetic process
GO:0051254	0.0002367499943333982	positive regulation of RNA metabolic process
GO:0031399	0.00032409614415351455	regulation of protein modification process
GO:0071310	0.00032449888802234505	cellular response to organic substance
GO:0019220	0.0003421912368942798	regulation of phosphate metabolic process
GO:0051174	0.0003456292179912032	regulation of phosphorus metabolic process
GO:0019538	0.0003714180379240367	protein metabolic process
GO:0033554	0.0003772900571924118	cellular response to stress
GO:0071407	0.0003869366992705097	cellular response to organic cyclic compound
GO:2001141	0.0004916302072909394	regulation of RNA biosynthetic process
GO:0001932	0.0005661740089027324	regulation of protein phosphorylation
GO:0032870	0.0006170503422448023	cellular response to hormone stimulus
GO:0019222	0.0006816916023926852	regulation of metabolic process
GO:0042026	0.0007077184374872966	protein refolding
