GO_terms	p-value	description
GO:0008152	2.9869906603627313e-65	metabolic process
GO:0071704	2.0017987459350673e-58	organic substance metabolic process
GO:0044238	8.607296636346396e-57	primary metabolic process
GO:0044237	1.7279063400760554e-56	cellular metabolic process
GO:0006807	6.885779984395831e-54	nitrogen compound metabolic process
GO:1901564	6.445011003630866e-53	organonitrogen compound metabolic process
GO:0044260	3.508158075002036e-49	cellular macromolecule metabolic process
GO:0019538	5.404359291298417e-39	protein metabolic process
GO:0043170	2.508604174045582e-37	macromolecule metabolic process
GO:0009987	2.2381182794521583e-36	cellular process
GO:0007049	3.2430730283388477e-35	cell cycle
GO:0009058	2.738105465170627e-34	biosynthetic process
GO:0043412	4.292795838198229e-33	macromolecule modification
GO:0051301	4.946370505553123e-32	cell division
GO:1901576	1.1798382976186783e-31	organic substance biosynthetic process
GO:0044249	7.5013666024419055e-31	cellular biosynthetic process
GO:0036211	3.3790283257731435e-29	protein modification process
GO:0022402	8.616518065221165e-27	cell cycle process
GO:1903047	3.0763148712334155e-26	mitotic cell cycle process
GO:0051726	4.016463058718661e-26	regulation of cell cycle
GO:0044271	1.1764117126042123e-25	cellular nitrogen compound biosynthetic process
GO:1901566	3.142473096943096e-23	organonitrogen compound biosynthetic process
GO:0033554	8.597613369801414e-22	cellular response to stress
GO:0051179	1.379081863606435e-21	localization
GO:0034641	3.785213796907954e-21	cellular nitrogen compound metabolic process
GO:0031323	8.925476270716944e-20	regulation of cellular metabolic process
GO:0010564	1.1776884822972866e-19	regulation of cell cycle process
GO:0019222	1.4337624421094592e-19	regulation of metabolic process
GO:0006996	1.6781513079835592e-19	organelle organization
GO:0051641	1.902436669003888e-19	cellular localization
GO:0080090	1.9559245322638384e-19	regulation of primary metabolic process
GO:0048518	2.67397062610862e-19	positive regulation of biological process
GO:0051234	6.495697142619835e-19	establishment of localization
GO:0009056	6.770939924929081e-19	catabolic process
GO:0071705	7.082416647947533e-19	nitrogen compound transport
GO:0071702	7.880750787383147e-19	organic substance transport
GO:1901575	2.7195837335859146e-18	organic substance catabolic process
GO:0033043	1.5953391868227828e-17	regulation of organelle organization
GO:0048522	1.649743235516947e-17	positive regulation of cellular process
GO:0051171	3.3698556337637645e-17	regulation of nitrogen compound metabolic process
GO:0006796	5.951384312694172e-17	phosphate-containing compound metabolic process
GO:0009059	7.391084162877992e-17	macromolecule biosynthetic process
GO:0006793	1.9611076859433877e-16	phosphorus metabolic process
GO:0033036	2.995720135103945e-16	macromolecule localization
GO:0033044	3.2833600920104e-16	regulation of chromosome organization
GO:0051649	7.013404701008837e-16	establishment of localization in cell
GO:0051276	9.920733205563337e-16	chromosome organization
GO:0008104	1.0878889618013554e-15	protein localization
GO:0006974	1.1997271646025803e-15	cellular response to DNA damage stimulus
GO:0070727	1.788034008986438e-15	cellular macromolecule localization
GO:0006518	2.1199776391024998e-15	peptide metabolic process
GO:0044248	2.2105841388396777e-15	cellular catabolic process
GO:0046907	3.9000711655912766e-15	intracellular transport
GO:0009057	5.228031641338107e-15	macromolecule catabolic process
GO:0006259	6.165052566258874e-15	DNA metabolic process
GO:0009893	8.248663270762673e-15	positive regulation of metabolic process
GO:0006810	1.205449035333676e-14	transport
GO:0045184	1.7878276354460707e-14	establishment of protein localization
GO:0006281	4.070180806785706e-14	DNA repair
GO:0060255	4.5685972033755596e-14	regulation of macromolecule metabolic process
GO:0065007	5.3074760596018704e-14	biological regulation
GO:0006412	6.529840802833301e-14	translation
GO:0051246	1.134522488850029e-13	regulation of protein metabolic process
GO:0015031	1.7973495657208347e-13	protein transport
GO:0070647	1.9099487861017638e-13	protein modification by small protein conjugation or removal
GO:0043043	2.6487626222773776e-13	peptide biosynthetic process
GO:0010604	3.89969131163504e-13	positive regulation of macromolecule metabolic process
GO:0051128	4.2661109372837124e-13	regulation of cellular component organization
GO:0007346	4.521361162991111e-13	regulation of mitotic cell cycle
GO:1901987	7.328828488724204e-13	regulation of cell cycle phase transition
GO:0048523	7.348055675455765e-13	negative regulation of cellular process
GO:0043603	7.537056501219411e-13	amide metabolic process
GO:0044265	9.346556743629256e-13	cellular macromolecule catabolic process
GO:0043604	1.6335699161976092e-12	amide biosynthetic process
GO:0044281	2.2222535343358655e-12	small molecule metabolic process
GO:0034660	2.943141767747374e-12	ncRNA metabolic process
GO:0050794	4.932918029495275e-12	regulation of cellular process
GO:0051173	7.219944244329898e-12	positive regulation of nitrogen compound metabolic process
GO:0034645	1.515664527018914e-11	cellular macromolecule biosynthetic process
GO:0046483	1.9140549296080962e-11	heterocycle metabolic process
GO:0018130	4.0892888801669206e-11	heterocycle biosynthetic process
GO:0050789	5.02368301220399e-11	regulation of biological process
GO:0006950	7.191303975297282e-11	response to stress
GO:0051716	7.841307749977863e-11	cellular response to stimulus
GO:0006725	1.1106187314094671e-10	cellular aromatic compound metabolic process
GO:0071840	1.1394052450518995e-10	cellular component organization or biogenesis
GO:0065009	1.1716732392140034e-10	regulation of molecular function
GO:0007059	1.526508265232294e-10	chromosome segregation
GO:0006139	1.9112736450822074e-10	nucleobase-containing compound metabolic process
GO:0019438	2.0837616572906734e-10	aromatic compound biosynthetic process
GO:0031325	3.1122237429335787e-10	positive regulation of cellular metabolic process
GO:0009889	5.847324506718065e-10	regulation of biosynthetic process
GO:1901360	6.670019438833707e-10	organic cyclic compound metabolic process
GO:1901362	6.868496052534341e-10	organic cyclic compound biosynthetic process
GO:0034470	8.30324925654033e-10	ncRNA processing
GO:0032446	9.146827563023041e-10	protein modification by small protein conjugation
GO:0043632	2.0549372137894915e-09	modification-dependent macromolecule catabolic process
GO:0034654	2.24960615840832e-09	nucleobase-containing compound biosynthetic process
GO:0051052	2.9301662335781827e-09	regulation of DNA metabolic process
GO:0030163	2.9453942636745326e-09	protein catabolic process
GO:0016567	3.950319835543343e-09	protein ubiquitination
GO:1901990	5.203876367903792e-09	regulation of mitotic cell cycle phase transition
GO:0010498	6.444674619311235e-09	proteasomal protein catabolic process
GO:0050790	8.411400243061701e-09	regulation of catalytic activity
GO:0031326	9.71398281560423e-09	regulation of cellular biosynthetic process
GO:0044093	1.6193670665952232e-08	positive regulation of molecular function
GO:0019637	1.6206856512787018e-08	organophosphate metabolic process
GO:2001251	2.050875450418438e-08	negative regulation of chromosome organization
GO:0019941	2.385369034187956e-08	modification-dependent protein catabolic process
GO:0006511	2.5453351138775412e-08	ubiquitin-dependent protein catabolic process
GO:0051603	3.100065896965544e-08	proteolysis involved in protein catabolic process
GO:0006886	4.901372097713593e-08	intracellular protein transport
GO:0051247	5.2540055608371263e-08	positive regulation of protein metabolic process
GO:0010639	7.01059257983034e-08	negative regulation of organelle organization
GO:0016043	8.57866602095657e-08	cellular component organization
GO:0006417	9.975693956901454e-08	regulation of translation
GO:0006913	1.0396199879196104e-07	nucleocytoplasmic transport
GO:0051169	1.0396199879196104e-07	nuclear transport
GO:0048519	1.2067167324434144e-07	negative regulation of biological process
GO:0140694	1.2260600377527805e-07	non-membrane-bounded organelle assembly
GO:0006399	1.2685590889274008e-07	tRNA metabolic process
GO:0090407	1.3310878804419442e-07	organophosphate biosynthetic process
GO:0045786	1.9198460456928799e-07	negative regulation of cell cycle
GO:1901565	2.1331801903679016e-07	organonitrogen compound catabolic process
GO:0006508	2.412536387586696e-07	proteolysis
GO:0009894	3.274540645610159e-07	regulation of catabolic process
GO:0045787	4.0700233478921604e-07	positive regulation of cell cycle
GO:0051983	4.243422153697467e-07	regulation of chromosome segregation
GO:0043161	5.253927252087541e-07	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0000278	6.195235772960238e-07	mitotic cell cycle
GO:0010965	6.589761548986235e-07	regulation of mitotic sister chromatid separation
GO:2000112	6.796961421949419e-07	regulation of cellular macromolecule biosynthetic process
GO:0010948	6.852655257841106e-07	negative regulation of cell cycle process
GO:0033045	7.863502342125906e-07	regulation of sister chromatid segregation
GO:0010556	8.832050068025815e-07	regulation of macromolecule biosynthetic process
GO:0034248	9.177987556934976e-07	regulation of amide metabolic process
GO:0033047	9.627196406561818e-07	regulation of mitotic sister chromatid segregation
GO:0031329	1.4628852533815436e-06	regulation of cellular catabolic process
GO:0007051	1.535275415297947e-06	spindle organization
GO:0045930	4.228004088360528e-06	negative regulation of mitotic cell cycle
GO:0044770	7.0493946974081584e-06	cell cycle phase transition
GO:0033046	7.666301838888784e-06	negative regulation of sister chromatid segregation
GO:0033048	7.666301838888784e-06	negative regulation of mitotic sister chromatid segregation
GO:2000816	7.666301838888784e-06	negative regulation of mitotic sister chromatid separation
GO:0007017	8.047549442277526e-06	microtubule-based process
GO:0000075	9.719208399994931e-06	cell cycle checkpoint signaling
GO:0043085	1.177089679599154e-05	positive regulation of catalytic activity
GO:0006413	1.2725528433692921e-05	translational initiation
GO:1901988	1.3550830445920562e-05	negative regulation of cell cycle phase transition
GO:1905818	1.4012286749652381e-05	regulation of chromosome separation
GO:0051985	1.78751919216884e-05	negative regulation of chromosome segregation
GO:1905819	1.78751919216884e-05	negative regulation of chromosome separation
GO:1901135	1.9397305101114936e-05	carbohydrate derivative metabolic process
GO:0006753	2.1331680043216827e-05	nucleoside phosphate metabolic process
GO:0007094	2.728611209517959e-05	mitotic spindle assembly checkpoint signaling
GO:0071174	2.728611209517959e-05	mitotic spindle checkpoint signaling
GO:0071173	2.728611209517959e-05	spindle assembly checkpoint signaling
GO:0044772	2.8342784037398604e-05	mitotic cell cycle phase transition
GO:0006091	2.870214738105778e-05	generation of precursor metabolites and energy
GO:1902850	2.901246895282035e-05	microtubule cytoskeleton organization involved in mitosis
GO:0009117	3.02359979800012e-05	nucleotide metabolic process
GO:0010389	3.0437359434465878e-05	regulation of G2/M transition of mitotic cell cycle
GO:0051129	3.130718881023553e-05	negative regulation of cellular component organization
GO:0016072	3.4846169413567706e-05	rRNA metabolic process
GO:0051988	3.515833213970582e-05	regulation of attachment of spindle microtubules to kinetochore
GO:2001020	3.712364863362816e-05	regulation of response to DNA damage stimulus
GO:0019219	3.9368561284053774e-05	regulation of nucleobase-containing compound metabolic process
GO:0031577	4.227653265219305e-05	spindle checkpoint signaling
GO:0051168	4.584171109517573e-05	nuclear export
GO:0033365	4.6048451017776596e-05	protein localization to organelle
GO:0010638	4.624745810224834e-05	positive regulation of organelle organization
GO:0044087	4.7867092725464034e-05	regulation of cellular component biogenesis
GO:0090068	4.845258334867912e-05	positive regulation of cell cycle process
GO:0007093	5.842349140802637e-05	mitotic cell cycle checkpoint signaling
