GO_terms	p-value	description
GO:0031323	5.682320330749044e-88	regulation of cellular metabolic process
GO:0051171	5.816381580563023e-85	regulation of nitrogen compound metabolic process
GO:0080090	6.345782199137914e-84	regulation of primary metabolic process
GO:0050794	9.600602790993517e-80	regulation of cellular process
GO:0065007	9.887626323807413e-80	biological regulation
GO:0050789	2.236518114413318e-77	regulation of biological process
GO:0019222	7.041288971305892e-77	regulation of metabolic process
GO:0048523	8.78673150163018e-76	negative regulation of cellular process
GO:0051252	8.031401774944739e-75	regulation of RNA metabolic process
GO:0019219	1.5162959530169478e-74	regulation of nucleobase-containing compound metabolic process
GO:0060255	2.332196697910841e-74	regulation of macromolecule metabolic process
GO:0048522	5.0039492156065355e-74	positive regulation of cellular process
GO:0009889	8.532305858460435e-74	regulation of biosynthetic process
GO:0010556	2.11143397648382e-73	regulation of macromolecule biosynthetic process
GO:0048518	4.4791940675778893e-73	positive regulation of biological process
GO:0031326	5.278228691053128e-72	regulation of cellular biosynthetic process
GO:0006355	2.8095499243931904e-69	regulation of DNA-templated transcription
GO:1903506	3.311457950325385e-69	regulation of nucleic acid-templated transcription
GO:2001141	9.633136862791219e-69	regulation of RNA biosynthetic process
GO:0006357	3.7845586744418125e-65	regulation of transcription by RNA polymerase II
GO:0010468	2.800491526094411e-64	regulation of gene expression
GO:0048519	2.074305432717253e-63	negative regulation of biological process
GO:0009893	5.698335378627227e-61	positive regulation of metabolic process
GO:0010604	1.8952233616838322e-59	positive regulation of macromolecule metabolic process
GO:0051173	3.256356727672919e-59	positive regulation of nitrogen compound metabolic process
GO:0032502	7.632269335984487e-59	developmental process
GO:0031325	2.480769348641697e-56	positive regulation of cellular metabolic process
GO:0031324	4.729078082439813e-56	negative regulation of cellular metabolic process
GO:0050793	1.5465561363595632e-52	regulation of developmental process
GO:0051172	4.889512822143203e-52	negative regulation of nitrogen compound metabolic process
GO:0045934	5.888225206277284e-51	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	9.596268757111583e-50	negative regulation of RNA metabolic process
GO:0045935	2.8486180113143094e-48	positive regulation of nucleobase-containing compound metabolic process
GO:0009891	9.77084428024141e-48	positive regulation of biosynthetic process
GO:0010557	1.956608450366751e-47	positive regulation of macromolecule biosynthetic process
GO:0045892	2.4898913678643217e-47	negative regulation of DNA-templated transcription
GO:1903507	3.197669658483841e-47	negative regulation of nucleic acid-templated transcription
GO:1902679	3.6230174104893864e-47	negative regulation of RNA biosynthetic process
GO:0051254	8.450333154082155e-46	positive regulation of RNA metabolic process
GO:1903508	1.0690187259457061e-45	positive regulation of nucleic acid-templated transcription
GO:0045893	1.0690187259457061e-45	positive regulation of DNA-templated transcription
GO:0031328	1.0799634104988625e-45	positive regulation of cellular biosynthetic process
GO:0010558	1.2196251005409115e-45	negative regulation of macromolecule biosynthetic process
GO:1902680	2.0259900793906674e-45	positive regulation of RNA biosynthetic process
GO:0031327	3.129114558876417e-44	negative regulation of cellular biosynthetic process
GO:0048856	3.4266119035014744e-44	anatomical structure development
GO:0009890	9.174132347940624e-44	negative regulation of biosynthetic process
GO:0048869	3.565403317537822e-42	cellular developmental process
GO:0000122	5.351522656703222e-42	negative regulation of transcription by RNA polymerase II
GO:0009966	1.79816351735399e-41	regulation of signal transduction
GO:0048583	4.612334288710131e-41	regulation of response to stimulus
GO:0009892	5.2460155462635634e-39	negative regulation of metabolic process
GO:0010605	2.495945552192388e-38	negative regulation of macromolecule metabolic process
GO:0030154	1.8957355266819724e-37	cell differentiation
GO:0023051	1.5351642693335876e-36	regulation of signaling
GO:0051239	1.6356638111751618e-36	regulation of multicellular organismal process
GO:0010646	2.7718075346065418e-36	regulation of cell communication
GO:0045944	4.223221281565121e-35	positive regulation of transcription by RNA polymerase II
GO:0065009	7.08372373346792e-31	regulation of molecular function
GO:0045595	1.2455279384437167e-30	regulation of cell differentiation
GO:0051094	8.45939559471082e-29	positive regulation of developmental process
GO:0051716	8.047404509773022e-28	cellular response to stimulus
GO:0051128	1.557517247280117e-27	regulation of cellular component organization
GO:2000026	2.920069713333213e-26	regulation of multicellular organismal development
GO:0048513	3.887030187172893e-26	animal organ development
GO:0010941	1.7768156947114041e-25	regulation of cell death
GO:0051246	1.9633568893066603e-25	regulation of protein metabolic process
GO:0009653	7.848188297081603e-25	anatomical structure morphogenesis
GO:0042981	1.3693656608259875e-24	regulation of apoptotic process
GO:0043067	5.229043836077661e-24	regulation of programmed cell death
GO:0022603	3.764215413934411e-23	regulation of anatomical structure morphogenesis
GO:0009968	4.5179463845227883e-23	negative regulation of signal transduction
GO:0023057	1.3341392756992973e-22	negative regulation of signaling
GO:0010648	1.678446888483105e-22	negative regulation of cell communication
GO:0033554	2.525119681177438e-22	cellular response to stress
GO:0042127	1.6838441462087715e-21	regulation of cell population proliferation
GO:0009987	3.1534261473998667e-21	cellular process
GO:1902531	2.683882497247843e-20	regulation of intracellular signal transduction
GO:0045597	3.4561258598529815e-20	positive regulation of cell differentiation
GO:0044093	8.014357713205347e-20	positive regulation of molecular function
GO:0048585	1.00569418222062e-19	negative regulation of response to stimulus
GO:0016043	2.0433905548848096e-19	cellular component organization
GO:0051240	3.591396547933887e-19	positive regulation of multicellular organismal process
GO:0050790	3.81289119651625e-19	regulation of catalytic activity
GO:0031399	2.7891776972931128e-18	regulation of protein modification process
GO:0071840	3.2070138682738263e-18	cellular component organization or biogenesis
GO:0009628	4.8011957959923484e-18	response to abiotic stimulus
GO:0051247	1.4848126132068523e-17	positive regulation of protein metabolic process
GO:0007167	2.0399334428537588e-17	enzyme-linked receptor protein signaling pathway
GO:0048646	3.7334390965884386e-17	anatomical structure formation involved in morphogenesis
GO:0019538	5.3796050338648763e-17	protein metabolic process
GO:0080135	5.558432663217527e-17	regulation of cellular response to stress
GO:0043412	7.136620370371251e-17	macromolecule modification
GO:0042221	7.88493925721702e-17	response to chemical
GO:0051641	1.0956598490015833e-16	cellular localization
GO:0080134	2.5120001702382425e-16	regulation of response to stress
GO:0036211	3.5534097891211387e-16	protein modification process
GO:0044087	9.89717901389402e-16	regulation of cellular component biogenesis
GO:0006950	2.239387141788776e-15	response to stress
GO:0009967	7.442696237170195e-15	positive regulation of signal transduction
GO:1901698	1.0213497999915011e-14	response to nitrogen compound
GO:1901700	1.0585584732612922e-14	response to oxygen-containing compound
GO:0042325	1.2157070862218066e-14	regulation of phosphorylation
GO:0030334	1.3303273680977507e-14	regulation of cell migration
GO:0009719	1.803973853831033e-14	response to endogenous stimulus
GO:0006325	3.238330105068294e-14	chromatin organization
GO:0051179	3.777516847484227e-14	localization
GO:0070887	4.907803977344119e-14	cellular response to chemical stimulus
GO:0010243	6.07494949677273e-14	response to organonitrogen compound
GO:0048584	6.659641936782131e-14	positive regulation of response to stimulus
GO:0019220	6.710546015406494e-14	regulation of phosphate metabolic process
GO:0051174	7.00717958344092e-14	regulation of phosphorus metabolic process
GO:0060341	8.582089496406815e-14	regulation of cellular localization
GO:0010033	9.7630727587656e-14	response to organic substance
GO:1901564	1.183315600275669e-13	organonitrogen compound metabolic process
GO:0009888	1.586431982231281e-13	tissue development
GO:0009894	2.542162166741926e-13	regulation of catabolic process
GO:2000145	2.8015842175949116e-13	regulation of cell motility
GO:0009887	3.52812335486149e-13	animal organ morphogenesis
GO:0048731	4.2609433351502346e-13	system development
GO:0007166	5.915166610834893e-13	cell surface receptor signaling pathway
GO:0032880	6.63418228261493e-13	regulation of protein localization
GO:0051093	1.8084597183670275e-12	negative regulation of developmental process
GO:0010942	3.178274873289622e-12	positive regulation of cell death
GO:0040012	3.3249917280976728e-12	regulation of locomotion
GO:0006915	5.4223346771128385e-12	apoptotic process
GO:0012501	7.94175909619552e-12	programmed cell death
GO:0070727	1.1738790683150413e-11	cellular macromolecule localization
GO:0035556	1.4981642876914176e-11	intracellular signal transduction
GO:0033036	1.512536384595748e-11	macromolecule localization
GO:0008284	1.6034372798416165e-11	positive regulation of cell population proliferation
GO:0008283	1.9661682119609895e-11	cell population proliferation
GO:0048589	2.286868894918768e-11	developmental growth
GO:0040007	2.286868894918768e-11	growth
GO:0008219	2.2963437412920236e-11	cell death
GO:0008104	2.6278281082708935e-11	protein localization
GO:0060284	2.7152112700805392e-11	regulation of cell development
GO:0002682	3.649983974853587e-11	regulation of immune system process
GO:0043085	4.860067968670522e-11	positive regulation of catalytic activity
GO:0071495	5.187038753078712e-11	cellular response to endogenous stimulus
GO:0032774	7.262292087308519e-11	RNA biosynthetic process
GO:1902533	8.606476777772687e-11	positive regulation of intracellular signal transduction
GO:0065008	1.198700628560515e-10	regulation of biological quality
GO:0023056	1.7498825990721147e-10	positive regulation of signaling
GO:0010647	1.8012090855814824e-10	positive regulation of cell communication
GO:0051726	2.024522546906031e-10	regulation of cell cycle
GO:0006338	2.2045531713826902e-10	chromatin remodeling
GO:0006996	2.839644347818839e-10	organelle organization
GO:0010628	3.702295167392563e-10	positive regulation of gene expression
GO:0071310	4.4692692259448276e-10	cellular response to organic substance
GO:0007169	4.58331342353214e-10	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0032879	5.82878654114061e-10	regulation of localization
GO:0046907	7.228380667581264e-10	intracellular transport
GO:0051248	7.257667858078627e-10	negative regulation of protein metabolic process
GO:0060548	9.72601042939183e-10	negative regulation of cell death
GO:0033043	1.1315000007499657e-09	regulation of organelle organization
GO:0031401	1.483039023474215e-09	positive regulation of protein modification process
GO:0001932	1.6081084693125825e-09	regulation of protein phosphorylation
GO:0043066	2.1790177569869803e-09	negative regulation of apoptotic process
GO:0031329	2.230575704910787e-09	regulation of cellular catabolic process
GO:0051649	2.4406760843349444e-09	establishment of localization in cell
GO:0051130	2.876567730489393e-09	positive regulation of cellular component organization
GO:0040008	3.361797279129566e-09	regulation of growth
GO:0030030	3.46068062553802e-09	cell projection organization
GO:1901652	5.00820047420657e-09	response to peptide
GO:0007010	5.409814636055726e-09	cytoskeleton organization
GO:0051234	5.476732967797234e-09	establishment of localization
GO:0070848	5.659017234208748e-09	response to growth factor
GO:0030155	6.229779949728267e-09	regulation of cell adhesion
GO:0001701	6.323938704525736e-09	in utero embryonic development
GO:0045596	7.537968607270194e-09	negative regulation of cell differentiation
GO:0043069	7.67914769570552e-09	negative regulation of programmed cell death
GO:1903829	1.0355563683318138e-08	positive regulation of protein localization
GO:0042326	1.1906344349112634e-08	negative regulation of phosphorylation
GO:0048468	1.2230865975743785e-08	cell development
GO:0051241	1.248715955771039e-08	negative regulation of multicellular organismal process
GO:0043009	1.3462594566254425e-08	chordate embryonic development
GO:0043065	1.7357761431567157e-08	positive regulation of apoptotic process
GO:0043170	1.9657138236227073e-08	macromolecule metabolic process
GO:0044092	2.076766691626263e-08	negative regulation of molecular function
GO:1901701	2.1145827646981606e-08	cellular response to oxygen-containing compound
GO:0043068	2.1457740532568984e-08	positive regulation of programmed cell death
GO:0016477	2.187892482689059e-08	cell migration
GO:0009725	2.7238988498702605e-08	response to hormone
GO:0008152	2.7681326574675157e-08	metabolic process
GO:0048729	3.156401191590276e-08	tissue morphogenesis
GO:0010720	3.441470343215154e-08	positive regulation of cell development
GO:0006351	3.5073128061176306e-08	DNA-templated transcription
GO:0009790	3.835454695472254e-08	embryo development
GO:0097659	3.895606046372142e-08	nucleic acid-templated transcription
GO:0071363	4.3072403463724595e-08	cellular response to growth factor stimulus
GO:0030029	4.32508618295257e-08	actin filament-based process
GO:0045936	4.852057213140958e-08	negative regulation of phosphate metabolic process
GO:0010563	4.852057213140958e-08	negative regulation of phosphorus metabolic process
GO:0006810	5.642289960792757e-08	transport
GO:1905897	5.9107187264341974e-08	regulation of response to endoplasmic reticulum stress
GO:0045598	6.264079718773006e-08	regulation of fat cell differentiation
GO:0009792	8.116007602073839e-08	embryo development ending in birth or egg hatching
GO:0034976	8.209358410770052e-08	response to endoplasmic reticulum stress
GO:0097435	8.934247895735541e-08	supramolecular fiber organization
GO:0031400	9.828122506295633e-08	negative regulation of protein modification process
GO:0051090	1.050296652820174e-07	regulation of DNA-binding transcription factor activity
GO:0048598	1.2828696228318904e-07	embryonic morphogenesis
GO:0120036	1.6573987803827483e-07	plasma membrane bounded cell projection organization
GO:0007389	1.860322125129531e-07	pattern specification process
GO:0001568	1.9668368024035989e-07	blood vessel development
GO:0016192	2.5515296947316994e-07	vesicle-mediated transport
GO:0045785	2.851121188942125e-07	positive regulation of cell adhesion
GO:0009896	3.1126432029973563e-07	positive regulation of catabolic process
GO:0045184	3.7138168708278213e-07	establishment of protein localization
GO:0007275	3.9027324859396607e-07	multicellular organism development
GO:1901699	4.317907773286584e-07	cellular response to nitrogen compound
GO:0048870	4.497349550673897e-07	cell motility
GO:0051345	4.749909360094325e-07	positive regulation of hydrolase activity
GO:0055007	4.998799655931689e-07	cardiac muscle cell differentiation
GO:0034654	5.579409801128267e-07	nucleobase-containing compound biosynthetic process
GO:0008285	6.989597093131754e-07	negative regulation of cell population proliferation
GO:0001558	7.273435784759622e-07	regulation of cell growth
GO:0007179	8.620080985062345e-07	transforming growth factor beta receptor signaling pathway
GO:0051336	8.728010763331801e-07	regulation of hydrolase activity
GO:0042692	1.0069527207278343e-06	muscle cell differentiation
GO:1902903	1.2420002716935942e-06	regulation of supramolecular fiber organization
GO:0019438	1.381693443064132e-06	aromatic compound biosynthetic process
GO:1901214	1.4285412062420436e-06	regulation of neuron death
GO:0051146	1.4415312019257808e-06	striated muscle cell differentiation
GO:0006807	1.7980723626268072e-06	nitrogen compound metabolic process
GO:0018130	1.850899117101623e-06	heterocycle biosynthetic process
GO:0051129	1.8653178721856705e-06	negative regulation of cellular component organization
GO:0044089	1.986261732374055e-06	positive regulation of cellular component biogenesis
GO:0009059	2.1419572250060408e-06	macromolecule biosynthetic process
GO:0007015	2.73621218799378e-06	actin filament organization
GO:0007178	3.238496821099091e-06	transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0031344	3.804488361249301e-06	regulation of cell projection organization
GO:0030036	3.9046299776805694e-06	actin cytoskeleton organization
GO:0071417	4.019510858906523e-06	cellular response to organonitrogen compound
GO:0043434	5.073520569480398e-06	response to peptide hormone
GO:0051098	5.629529283212968e-06	regulation of binding
GO:0009895	5.826581652294306e-06	negative regulation of catabolic process
GO:0016570	6.396061156841409e-06	histone modification
GO:0006986	6.756422563489923e-06	response to unfolded protein
GO:0051049	7.092130298146539e-06	regulation of transport
GO:0051493	7.297981748365997e-06	regulation of cytoskeleton organization
GO:0001501	7.323113892000159e-06	skeletal system development
GO:2000628	7.812621249926649e-06	regulation of miRNA metabolic process
GO:0015031	7.83803337002867e-06	protein transport
GO:1902532	8.101757565227471e-06	negative regulation of intracellular signal transduction
GO:0014070	8.968810368455145e-06	response to organic cyclic compound
GO:0071705	9.561821336199574e-06	nitrogen compound transport
GO:0090287	9.998120791554293e-06	regulation of cellular response to growth factor stimulus
GO:0048511	9.998120791554293e-06	rhythmic process
GO:0001666	9.998120791554293e-06	response to hypoxia
GO:0043408	1.0577488564206688e-05	regulation of MAPK cascade
GO:1902893	1.2143520989460322e-05	regulation of miRNA transcription
GO:0050678	1.2446746040758105e-05	regulation of epithelial cell proliferation
GO:0071704	1.4430665709891826e-05	organic substance metabolic process
GO:0035966	1.4842707215290212e-05	response to topologically incorrect protein
GO:1901653	1.7084821522238167e-05	cellular response to peptide
GO:0051338	2.075681638433713e-05	regulation of transferase activity
GO:0120035	2.1155369732817675e-05	regulation of plasma membrane bounded cell projection organization
GO:0043549	2.298096318720016e-05	regulation of kinase activity
GO:0030335	2.7334882206084287e-05	positive regulation of cell migration
GO:0009612	2.762969724945671e-05	response to mechanical stimulus
GO:0036293	2.851270153329211e-05	response to decreased oxygen levels
GO:0018393	3.239988934263629e-05	internal peptidyl-lysine acetylation
GO:0006475	3.239988934263629e-05	internal protein amino acid acetylation
GO:0006457	3.3462466749207954e-05	protein folding
GO:0022407	4.0600893247085894e-05	regulation of cell-cell adhesion
GO:0043087	4.5891920401320614e-05	regulation of GTPase activity
GO:0035051	5.2277908575448216e-05	cardiocyte differentiation
GO:0018394	5.3596367796307014e-05	peptidyl-lysine acetylation
GO:0070482	5.7174474651194087e-05	response to oxygen levels
GO:2001233	6.006726683665859e-05	regulation of apoptotic signaling pathway
GO:0048638	6.364447935360893e-05	regulation of developmental growth
GO:1903706	6.727514663684466e-05	regulation of hemopoiesis
GO:1903320	6.973120876571023e-05	regulation of protein modification by small protein conjugation or removal
GO:0043410	7.042244493379105e-05	positive regulation of MAPK cascade
GO:0051960	7.325177604838053e-05	regulation of nervous system development
GO:2000147	7.443944108116364e-05	positive regulation of cell motility
GO:0001817	7.733363198939693e-05	regulation of cytokine production
GO:0044238	7.870450270455611e-05	primary metabolic process
GO:0031647	8.145763641653192e-05	regulation of protein stability
GO:0048562	8.729993809505719e-05	embryonic organ morphogenesis
