GO_terms	p-value	description
GO:0034660	3.0273121452763814e-90	ncRNA metabolic process
GO:0034470	1.2608722800857384e-86	ncRNA processing
GO:0090304	1.6426927002324446e-84	nucleic acid metabolic process
GO:0016070	2.50104691030171e-80	RNA metabolic process
GO:0006396	1.6745763119554332e-78	RNA processing
GO:0006139	2.517914263579041e-74	nucleobase-containing compound metabolic process
GO:0006725	5.242774931235193e-73	cellular aromatic compound metabolic process
GO:0046483	9.33099189069646e-73	heterocycle metabolic process
GO:0009987	1.6008719334627026e-71	cellular process
GO:0016072	4.657127923627192e-71	rRNA metabolic process
GO:0022613	2.1551387313707755e-70	ribonucleoprotein complex biogenesis
GO:0034641	2.9119426699901544e-70	cellular nitrogen compound metabolic process
GO:1901360	8.460567507068784e-70	organic cyclic compound metabolic process
GO:0042254	1.0986630863312487e-66	ribosome biogenesis
GO:0006364	7.721737479332901e-66	rRNA processing
GO:0044085	8.957141951561671e-66	cellular component biogenesis
GO:0043170	7.467140319740207e-51	macromolecule metabolic process
GO:0006807	1.1635058212205504e-44	nitrogen compound metabolic process
GO:0009451	2.78607067330936e-43	RNA modification
GO:0044237	1.21921909507288e-36	cellular metabolic process
GO:0071840	2.5253864095204456e-35	cellular component organization or biogenesis
GO:0044238	6.645095204838623e-34	primary metabolic process
GO:0071704	2.058107640426544e-33	organic substance metabolic process
GO:0008152	2.2848696511561476e-31	metabolic process
GO:0006399	8.039958768387866e-30	tRNA metabolic process
GO:0090501	9.101158160511545e-30	RNA phosphodiester bond hydrolysis
GO:0030490	4.533124917761088e-28	maturation of SSU-rRNA
GO:0001510	1.4972997132995303e-27	RNA methylation
GO:0090305	2.3055618344001677e-25	nucleic acid phosphodiester bond hydrolysis
GO:0043414	1.509327858761681e-24	macromolecule methylation
GO:0000154	3.064501077397838e-24	rRNA modification
GO:0032259	1.1716251673381179e-23	methylation
GO:0000469	1.2442463149176914e-23	cleavage involved in rRNA processing
GO:0008033	1.669519291437647e-23	tRNA processing
GO:0031167	8.528663759326039e-20	rRNA methylation
GO:0060255	1.8136551843194776e-19	regulation of macromolecule metabolic process
GO:0090502	2.8635854404900014e-19	RNA phosphodiester bond hydrolysis, endonucleolytic
GO:0010468	1.7632121588001245e-18	regulation of gene expression
GO:0006400	6.221327754692792e-18	tRNA modification
GO:0019222	2.5251031372803416e-17	regulation of metabolic process
GO:0050789	4.684282127323559e-16	regulation of biological process
GO:0000966	2.123990684277413e-15	RNA 5'-end processing
GO:0044260	5.091040248853951e-15	cellular macromolecule metabolic process
GO:0042273	8.149408491976494e-15	ribosomal large subunit biogenesis
GO:0000967	1.4162850863778296e-14	rRNA 5'-end processing
GO:0034471	1.4162850863778296e-14	ncRNA 5'-end processing
GO:0018130	1.014866188079926e-13	heterocycle biosynthetic process
GO:0036260	1.0281548055277727e-13	RNA capping
GO:0034654	1.45200401934476e-13	nucleobase-containing compound biosynthetic process
GO:0016071	1.5345393136720066e-13	mRNA metabolic process
GO:0032774	1.608724373431699e-13	RNA biosynthetic process
GO:0019438	1.956265342711336e-13	aromatic compound biosynthetic process
GO:0022618	2.1899894607587047e-13	ribonucleoprotein complex assembly
GO:0000472	2.3706904730811904e-13	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0010629	2.372782372186398e-13	negative regulation of gene expression
GO:0043933	3.114940149486009e-13	protein-containing complex organization
GO:0031323	4.799759586911695e-13	regulation of cellular metabolic process
GO:0050794	6.955510664490082e-13	regulation of cellular process
