GO_terms	p-value	description
GO:0070887	3.1245449516536117e-10	cellular response to chemical stimulus
GO:0009056	3.19603092992408e-10	catabolic process
GO:0005975	5.629441890611252e-10	carbohydrate metabolic process
GO:1901575	1.8287750217344543e-07	organic substance catabolic process
GO:0042221	2.657663566651774e-07	response to chemical
GO:0044262	3.793342670552243e-07	cellular carbohydrate metabolic process
GO:0050896	1.3733797074675038e-06	response to stimulus
GO:0044248	3.840516516732883e-06	cellular catabolic process
GO:0009628	5.3183384785631935e-06	response to abiotic stimulus
GO:0009991	1.7826223499939064e-05	response to extracellular stimulus
GO:0044282	1.9502596434273603e-05	small molecule catabolic process
GO:1901565	4.6516247973527474e-05	organonitrogen compound catabolic process
GO:0031667	8.942953819602071e-05	response to nutrient levels
GO:0006950	0.0001403820094546844	response to stress
GO:0006091	0.00018512670863516365	generation of precursor metabolites and energy
GO:0006979	0.00025210547513753064	response to oxidative stress
GO:0009605	0.0005838138950595406	response to external stimulus
GO:0062197	0.0006196589756548528	cellular response to chemical stress
GO:0010906	0.0012668251413532883	regulation of glucose metabolic process
GO:0015980	0.0013340669914863835	energy derivation by oxidation of organic compounds
GO:0009311	0.001629650555085069	oligosaccharide metabolic process
GO:0005984	0.0039714954630079	disaccharide metabolic process
GO:0045912	0.006262818500664025	negative regulation of carbohydrate metabolic process
GO:0010677	0.006262818500664025	negative regulation of cellular carbohydrate metabolic process
GO:0006111	0.006262818500664025	regulation of gluconeogenesis
GO:0045721	0.007039418220881666	negative regulation of gluconeogenesis
GO:0005991	0.007039418220881666	trehalose metabolic process
GO:0072666	0.007061412138158889	establishment of protein localization to vacuole
GO:0005886	5.145715386303358e-06	plasma membrane
GO:0110165	1.9685626985834486e-05	cellular anatomical entity
GO:0005773	2.3397827805177795e-05	vacuole
GO:0000323	0.0017068078891765725	lytic vacuole
GO:0000322	0.002003747546652736	storage vacuole
GO:0000324	0.002003747546652736	fungal-type vacuole
GO:0031974	0.00396089974598363	membrane-enclosed lumen
GO:0043233	0.00396089974598363	organelle lumen
GO:0070013	0.00396089974598363	intracellular organelle lumen
GO:0016491	4.804551066176178e-07	oxidoreductase activity
GO:0003700	0.0001241832323711728	DNA-binding transcription factor activity
GO:0000981	0.0008314284674324759	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0034660	3.349080606557887e-23	ncRNA metabolic process
GO:0006396	6.24267073097098e-23	RNA processing
GO:0034641	4.483600103512525e-20	cellular nitrogen compound metabolic process
GO:0090304	6.039579578856118e-20	nucleic acid metabolic process
GO:0034470	1.3342051346234151e-18	ncRNA processing
GO:0016072	3.354145450203306e-17	rRNA metabolic process
GO:0022613	5.947430389552743e-17	ribonucleoprotein complex biogenesis
GO:0016070	1.1348001985453173e-16	RNA metabolic process
GO:0006412	1.2236553741160475e-16	translation
GO:0042254	1.006230911828693e-14	ribosome biogenesis
GO:0043043	1.505998034826693e-14	peptide biosynthetic process
