#gene_ID	logFC	pvalue
YBR267W	-5.549923751	0.0001
YAL059W	-4.914583657	0.0001
YGR159C	-4.812206262	0.0001
YJL122W	-4.758841692	0.0001
YOR340C	-4.700612965	0.0001
YNL182C	-4.540422892	0.0001
YKR024C	-4.413519145	0.0001
YDR101C	-4.331343188	0.0001
YDR496C	-4.303923693	0.0001
YDR399W	-4.262474857	0.0001
YKR081C	-4.225546357	0.0001
YOR294W	-4.200977999	0.0001
YJL010C	-4.158577599	0.0001
YML080W	-4.125843822	0.0001
YKR056W	-4.051667035	0.0001
YLR068W	-4.042008254	0.0001
YNL141W	-3.938569827	0.0001
YHR085W	-3.913846239	0.0001
YNR053C	-3.90078071	0.0001
YCR047C	-3.889058711	0.0001
YDL060W	-3.723043259	0.0001
YIL104C	-3.692679999	0.0001
YLR146C	-3.689332681	0.0001
YCL054W	-3.625929674	0.0001
YHR052W	-3.617457978	0.0001
YNL119W	-3.581674789	0.0001
YJR097W	-3.555948716	0.0001
YJR063W	-3.523757346	0.0001
YGR271C-A	-3.494036512	0.0001
YPL093W	-3.486380955	0.0001
YLR009W	-3.486335462	0.0001
YLR222C	-3.46931052	0.0001
YGR283C	-3.457991291	0.0001
YHR169W	-3.448943667	0.0001
YJR041C	-3.434144573	0.0001
YOR287C	-3.426044553	0.0001
YKL021C	-3.396215355	0.0001
YOL080C	-3.351138709	0.0001
YIL091C	-3.30739781	0.0001
YKR079C	-3.301934503	0.0001
YKR099W	-3.290269349	0.0001
YKL172W	-3.259700591	0.0001
YDL227C	-3.259187212	0.0001
YBR141C	-3.259167961	0.0001
YKL078W	-3.207279215	0.0001
YIL103W	-3.199718451	0.0001
YPL183C	-3.182184531	0.0001
YOR243C	-3.166453212	0.0001
YOR252W	-3.164119301	0.0001
YHR148W	-3.158519151	0.0001
YNL289W	-3.15493995	0.0001
YKL009W	-3.119189957	0.0001
YCL036W	-3.11082159	0.0001
YHR196W	-3.105808257	0.0001
YCR072C	-3.078118788	0.0001
YDR449C	-3.045395236	0.0001
YLR129W	-3.035497127	0.0001
YDR120C	-3.027669714	0.0001
YLR363W-A	-3.023287606	0.0001
YHR066W	-2.999638026	0.0001
YHR144C	-2.996868575	0.0001
YBR061C	-2.984439361	0.0001
YIL127C	-2.981403152	0.0001
YGL171W	-2.976692085	0.0001
YLR196W	-2.976448936	0.0001
YIL096C	-2.971418171	0.0001
YPL012W	-2.962514908	0.0001
YOL077C	-2.946819779	0.0001
YMR093W	-2.94492929	0.0001
YOR315W	-2.939118584	0.0001
YOR056C	-2.92644865	0.0001
YLR186W	-2.919329	0.0001
YJR055W	-2.907376936	0.0001
YDR324C	-2.890311711	0.0001
YLR063W	-2.886846956	0.0001
YLL011W	-2.885308018	0.0001
YHR143W	-2.881322652	0.0001
YCR016W	-2.874066901	0.0001
YGR081C	-2.813340852	0.0001
YPL211W	-2.809960319	0.0001
YLR355C	-2.79510413	0.0001
YHR065C	-2.790878178	0.0001
YNL062C	-2.786077127	0.0001
YLL034C	-2.77296197	0.0001
YLR435W	-2.768121429	0.0001
YMR127C	-2.762660303	0.0001
YDR021W	-2.760632974	0.0001
YGL078C	-2.742894952	0.0001
YJL098W	-2.737636953	0.0001
YOL041C	-2.736021683	0.0001
YBR034C	-2.723093906	0.0001
YGR128C	-2.702485615	0.0001
YGL028C	-2.702049694	0.0001
YJL069C	-2.692592687	0.0001
YDR412W	-2.686990499	0.0001
YNL113W	-2.686341145	0.0001
YMR014W	-2.685189781	0.0001
YML043C	-2.681536942	0.0001
YDL167C	-2.672321359	0.0001
YER056C	-2.670841104	0.0001
YDR451C	-2.670115961	0.0001
YGR221C	-2.653792751	0.0001
YDL031W	-2.646587307	0.0001
YBR271W	-2.616892444	0.0001
YDR361C	-2.591144105	0.0001
YNL256W	-2.574475265	0.0001
YKR060W	-2.573117028	0.0001
YDL201W	-2.571682807	0.0001
YBL081W	-2.567813328	0.0001
YNL164C	-2.558156913	0.0001
YNL313C	-2.549608408	0.0001
YLR143W	-2.537576016	0.0001
YBL054W	-2.534549487	0.0001
YNL065W	-2.532763099	0.0001
YER075C	-2.530003259	0.0001
YPR143W	-2.51019866	0.0001
YNR024W	-2.505087622	0.0001
YHR120W	-2.498775678	0.0001
YDL112W	-2.46673084	0.0001
YDR083W	-2.459657464	0.0001
YOR004W	-2.45292716	0.0001
YHR197W	-2.450026035	0.0001
YPL266W	-2.443555949	0.0001
YGL169W	-2.44072597	0.0001
YNL110C	-2.422027948	0.0001
YBR247C	-2.411298471	0.0001
YOR078W	-2.406096894	0.0001
YJL157C	-2.402702237	0.0001
YNL248C	-2.401532514	0.0001
YNR038W	-2.385599985	0.0001
YPR137W	-2.384845409	0.0001
YHR149C	-2.382522981	0.0001
YOR001W	-2.378935494	0.0001
YOR101W	-2.378730427	0.0001
YLR180W	-2.375086094	0.0001
YKR063C	-2.37210095	0.0001
YJR147W	-2.329923828	0.0001
YML093W	-2.324912697	0.0001
YAL025C	-2.32154344	0.0001
YLR073C	-2.3022398	0.0001
YML027W	-2.296062234	0.0001
YJL125C	-2.29226705	0.0001
YBL039C	-2.289122722	0.0001
YKR044W	-2.288402	0.0001
YDL063C	-2.279348724	0.0001
YPL252C	-2.276995683	0.0001
YMR229C	-2.274659375	0.0001
YFL023W	-2.27009248	0.0001
YGL236C	-2.268801264	0.0001
YOR295W	-2.260688742	0.0001
YHR167W	-2.247525084	0.0001
YPL157W	-2.240991639	0.0001
YLR419W	-2.240002399	0.0001
YER049W	-2.232397103	0.0001
YGR079W	-2.22732109	0.0001
YDR198C	-2.214767907	0.0001
YMR268C	-2.207185784	0.0001
YNL308C	-2.20136038	0.0001
YPL043W	-2.198633275	0.0001
YDR184C	-2.194313923	0.0001
YNL299W	-2.193154562	0.0001
YJL050W	-2.189514625	0.0001
YGR177C	-2.171658583	0.0001
YNR054C	-2.168288235	0.0001
YPR112C	-2.147883478	0.0001
YPL029W	-2.133473588	0.0001
YDR020C	-2.13028368	0.0001
YGL029W	-2.129547798	0.0001
YHR166C	-2.108046998	0.0001
YDR075W	-2.107729915	0.0001
YPR031W	-2.105522821	0.0001
YOL054W	-2.101796527	0.0001
YFL002C	-2.09811653	0.0001
YPR144C	-2.09449243	0.0001
YMR310C	-2.082061118	0.0001
YNL227C	-2.076698617	0.0001
YOR145C	-2.076572567	0.0001
YIL158W	-2.069922359	0.0001
YMR309C	-2.06296527	0.0001
YPL030W	-2.060604306	0.0001
YML113W	-2.051713174	0.0001
YNL022C	-2.042223647	0.0001
YLR409C	-2.039754394	0.0001
YFL001W	-2.03973418	0.0001
YDR312W	-2.037472312	0.0001
YNL175C	-2.03556851	0.0001
YJR070C	-2.018308654	0.0001
YKL191W	-2.011559855	0.0001
YDL209C	-2.010871134	0.0001
YCR057C	-2.008716184	0.0001
YDR507C	-2.006401491	0.0001
YNL151C	-1.997102631	0.0001
YER127W	-1.986655492	0.0001
YMR227C	-1.984404014	0.0001
YNL024C	-1.983312405	0.0001
YKL099C	-1.977576842	0.0001
YML018C	-1.973128819	0.0001
YPL212C	-1.963379314	0.0001
YNL095C	-1.946133281	0.0001
YDL030W	-1.940654962	0.0001
YBR104W	-1.925983576	0.0001
YNL078W	-1.925383774	0.0001
YLR002C	-1.920664667	0.0001
YER002W	-1.917616645	0.0001
YJL087C	-1.916356201	0.0001
YFL034C-A	-1.913544343	0.0001
YKR086W	-1.89402514	0.0001
YLR015W	-1.891731001	0.0001
YGL143C	-1.889271349	0.0001
YCR086W	-1.880301647	0.0001
YDR060W	-1.871839121	0.0001
YNL250W	-1.866807109	0.0001
YNL002C	-1.864716842	0.0001
