ENSMUSG00000064341	PF00146
ENSMUSG00000064345	PF00361
ENSMUSG00000064345	PF06444
ENSMUSG00000064351	PF00115
ENSMUSG00000064354	PF02790
ENSMUSG00000064354	PF00116
ENSMUSG00000064356	PF00895
ENSMUSG00000064357	PF00119
ENSMUSG00000064358	PF00510
ENSMUSG00000064360	PF00507
ENSMUSG00000065947	PF00420
ENSMUSG00000064363	PF00361
ENSMUSG00000064363	PF01059
ENSMUSG00000064367	PF06455
ENSMUSG00000064367	PF00361
ENSMUSG00000064367	PF00662
ENSMUSG00000064368	PF00499
ENSMUSG00000064370	PF00033
ENSMUSG00000064370	PF00032
ENSMUSG00000096776	PF03402
ENSMUSG00000095250	PF03172
ENSMUSG00000094915	PF03172
ENSMUSG00000096244	PF03402
ENSMUSG00000095092	PF03172
ENSMUSG00000079192	PF03172
ENSMUSG00000095672	PF03172
ENSMUSG00000079794	PF03172
ENSMUSG00000079808	PF03172
ENSMUSG00000079808	PF01342
ENSMUSG00000094799	PF03172
ENSMUSG00000079190	PF03172
ENSMUSG00000094514	PF03172
ENSMUSG00000094874	PF03172
ENSMUSG00000095500	PF03172
ENSMUSG00000062783	PF00001
ENSMUSG00000096808	PF03372
ENSMUSG00000095634	PF02513
ENSMUSG00000100032	PF04803
ENSMUSG00000094789	PF04803
ENSMUSG00000102388	PF02513
ENSMUSG00000095263	PF04803
ENSMUSG00000099550	PF02513
ENSMUSG00000099530	PF02513
ENSMUSG00000094052	PF02513
ENSMUSG00000095011	PF04803
ENSMUSG00000094616	PF04803
ENSMUSG00000099531	PF04803
ENSMUSG00000100535	PF04803
ENSMUSG00000095793	PF04803
ENSMUSG00000096902	PF04803
ENSMUSG00000096650	PF04803
ENSMUSG00000099782	PF04803
ENSMUSG00000101933	PF04803
ENSMUSG00000101528	PF04803
ENSMUSG00000101157	PF04803
ENSMUSG00000094575	PF02513
ENSMUSG00000101146	PF04803
ENSMUSG00000100902	PF04803
ENSMUSG00000100892	PF04803
ENSMUSG00000100708	PF04803
ENSMUSG00000093895	PF04803
ENSMUSG00000094647	PF04803
ENSMUSG00000096898	PF02513
ENSMUSG00000099792	PF04803
ENSMUSG00000095452	PF02513
ENSMUSG00000094739	PF02513
ENSMUSG00000095867	PF02513
ENSMUSG00000101471	PF04803
ENSMUSG00000094746	PF04803
ENSMUSG00000095578	PF04803
ENSMUSG00000094181	PF04803
ENSMUSG00000099740	PF04803
ENSMUSG00000099894	PF04803
ENSMUSG00000101286	PF04803
ENSMUSG00000099925	PF04803
ENSMUSG00000094782	PF04803
ENSMUSG00000101653	PF04803
ENSMUSG00000095153	PF04803
ENSMUSG00000094660	PF02513
ENSMUSG00000100972	PF04803
ENSMUSG00000099840	PF04803
ENSMUSG00000095979	PF04803
ENSMUSG00000095650	PF02513
ENSMUSG00000100338	PF04803
ENSMUSG00000100240	PF04803
ENSMUSG00000102122	PF04803
ENSMUSG00000096769	PF04803
ENSMUSG00000094399	PF04803
ENSMUSG00000099856	PF04803
ENSMUSG00000100485	PF04803
ENSMUSG00000101915	PF04803
ENSMUSG00000102045	PF04803
ENSMUSG00000095606	PF04803
ENSMUSG00000100608	PF04803
ENSMUSG00000094729	PF02513
ENSMUSG00000096178	PF04803
ENSMUSG00000100045	PF04803
ENSMUSG00000094570	PF04803
ENSMUSG00000095135	PF04803
ENSMUSG00000101155	PF04803
ENSMUSG00000096122	PF02513
ENSMUSG00000101399	PF04803
ENSMUSG00000096626	PF04803
ENSMUSG00000095141	PF04803
ENSMUSG00000100667	PF04803
ENSMUSG00000100726	PF04803
ENSMUSG00000094821	PF04803
ENSMUSG00000093950	PF02513
ENSMUSG00000100856	PF04803
ENSMUSG00000101766	PF04803
ENSMUSG00000095785	PF02513
ENSMUSG00000093993	PF04803
ENSMUSG00000096666	PF02513
ENSMUSG00000095302	PF02513
ENSMUSG00000096016	PF04803
ENSMUSG00000103528	PF04803
ENSMUSG00000103919	PF04803
ENSMUSG00000093868	PF02513
ENSMUSG00000100055	PF04803
ENSMUSG00000099541	PF04803
ENSMUSG00000101158	PF04803
ENSMUSG00000100467	PF04803
ENSMUSG00000101667	PF00076
ENSMUSG00000093918	PF00076
ENSMUSG00000094511	PF00076
ENSMUSG00000093987	PF00076
ENSMUSG00000095948	PF00076
ENSMUSG00000096520	PF00076
ENSMUSG00000093927	PF02513
ENSMUSG00000096706	PF02513
ENSMUSG00000096268	PF02513
ENSMUSG00000100634	PF02513
ENSMUSG00000096036	PF02513
ENSMUSG00000095148	PF02513
ENSMUSG00000101243	PF04803
ENSMUSG00000079806	PF02513
ENSMUSG00000096686	PF02513
ENSMUSG00000094484	PF02513
ENSMUSG00000100939	PF04803
ENSMUSG00000094081	PF02513
ENSMUSG00000100645	PF04803
ENSMUSG00000099861	PF02513
ENSMUSG00000095324	PF02513
ENSMUSG00000101928	PF04803
ENSMUSG00000101053	PF02513
ENSMUSG00000091077	PF02513
ENSMUSG00000094679	PF02513
ENSMUSG00000094773	PF02513
ENSMUSG00000096223	PF02513
ENSMUSG00000094556	PF02513
ENSMUSG00000095032	PF02513
ENSMUSG00000095242	PF02513
ENSMUSG00000101396	PF04803
ENSMUSG00000095950	PF02513
ENSMUSG00000094813	PF02513
ENSMUSG00000094838	PF02513
ENSMUSG00000100231	PF04803
ENSMUSG00000095508	PF02513
ENSMUSG00000104267	PF02513
ENSMUSG00000096820	PF02513
ENSMUSG00000103468	PF02513
ENSMUSG00000093903	PF02513
ENSMUSG00000095900	PF02513
ENSMUSG00000104191	PF04803
ENSMUSG00000095172	PF02513
ENSMUSG00000095520	PF02513
ENSMUSG00000095365	PF00076
ENSMUSG00000102739	PF02513
ENSMUSG00000094325	PF02513
ENSMUSG00000095267	PF02513
ENSMUSG00000103371	PF04803
ENSMUSG00000102668	PF04803
ENSMUSG00000094294	PF02513
ENSMUSG00000093848	PF02513
ENSMUSG00000053211	PF04704
ENSMUSG00000053211	PF00096
ENSMUSG00000069053	PF16190
ENSMUSG00000069053	PF09358
ENSMUSG00000069053	PF00899
ENSMUSG00000069053	PF16191
ENSMUSG00000069053	PF10585
ENSMUSG00000056673	PF00628
ENSMUSG00000056673	PF01388
ENSMUSG00000056673	PF02375
ENSMUSG00000056673	PF08429
ENSMUSG00000056673	PF02928
ENSMUSG00000056673	PF02373
ENSMUSG00000069049	PF09173
ENSMUSG00000069049	PF03144
ENSMUSG00000069049	PF00009
ENSMUSG00000068457	PF02373
ENSMUSG00000068457	PF13181
ENSMUSG00000069045	PF00270
ENSMUSG00000069045	PF00271
ENSMUSG00000069044	PF12030
ENSMUSG00000069044	PF00443
ENSMUSG00000000103	PF00096
ENSMUSG00000000103	PF04704
ENSMUSG00000094881	PF00808
ENSMUSG00000069036	PF00505
ENSMUSG00000095573	PF00808
ENSMUSG00000102053	PF00076
ENSMUSG00000094658	PF00076
ENSMUSG00000095852	PF00076
ENSMUSG00000091987	PF00076
ENSMUSG00000047161	PF03567
ENSMUSG00000024304	PF00028
ENSMUSG00000024304	PF01049
ENSMUSG00000024304	PF08758
ENSMUSG00000048799	PF12416
ENSMUSG00000048799	PF00168
ENSMUSG00000073563	PF12605
ENSMUSG00000073563	PF00069
ENSMUSG00000059898	PF00028
ENSMUSG00000059898	PF08758
ENSMUSG00000059898	PF01049
ENSMUSG00000001700	PF02893
ENSMUSG00000024331	PF01049
ENSMUSG00000024331	PF08758
ENSMUSG00000024331	PF00028
ENSMUSG00000044322	PF08758
ENSMUSG00000044322	PF01049
ENSMUSG00000044322	PF00028
ENSMUSG00000034774	PF00028
ENSMUSG00000034774	PF01049
ENSMUSG00000069441	PF01049
ENSMUSG00000069441	PF00028
ENSMUSG00000061928	PF01049
ENSMUSG00000061928	PF00028
ENSMUSG00000053644	PF00171
ENSMUSG00000001804	PF00028
ENSMUSG00000001804	PF01049
ENSMUSG00000008301	PF10258
ENSMUSG00000032900	PF14983
ENSMUSG00000024590	PF00038
ENSMUSG00000024590	PF00932
ENSMUSG00000032656	PF12906
ENSMUSG00000056632	PF00028
ENSMUSG00000024592	PF05768
ENSMUSG00000091039	PF11759
ENSMUSG00000065968	PF04505
ENSMUSG00000056706	PF15034
ENSMUSG00000091212	PF05287
ENSMUSG00000044117	PF12130
ENSMUSG00000044393	PF00028
ENSMUSG00000061808	PF00576
ENSMUSG00000022827	PF08477
ENSMUSG00000056124	PF13733
ENSMUSG00000056124	PF02709
ENSMUSG00000022821	PF04209
ENSMUSG00000022820	PF07225
ENSMUSG00000024593	PF12661
ENSMUSG00000024593	PF00053
ENSMUSG00000024594	PF01931
ENSMUSG00000069372	PF11057
ENSMUSG00000060657	PF12872
ENSMUSG00000060657	PF01936
ENSMUSG00000060657	PF19687
ENSMUSG00000060657	PF11608
ENSMUSG00000022816	PF09289
ENSMUSG00000022816	PF07648
ENSMUSG00000108763	PF07686
ENSMUSG00000034158	PF13855
ENSMUSG00000046961	PF00003
ENSMUSG00000033382	PF12739
ENSMUSG00000022812	PF00069
ENSMUSG00000033107	PF05605
ENSMUSG00000033107	PF18574
ENSMUSG00000033107	PF13923
ENSMUSG00000022809	PF00104
ENSMUSG00000022809	PF00105
ENSMUSG00000024597	PF00324
ENSMUSG00000024597	PF08403
ENSMUSG00000024597	PF03522
ENSMUSG00000024317	PF18574
ENSMUSG00000024317	PF13923
ENSMUSG00000024317	PF05605
ENSMUSG00000022678	PF04880
ENSMUSG00000024313	PF01400
ENSMUSG00000024313	PF00008
ENSMUSG00000024313	PF00629
ENSMUSG00000042680	PF12736
ENSMUSG00000002489	PF00595
ENSMUSG00000002489	PF00621
ENSMUSG00000002489	PF02196
ENSMUSG00000002489	PF00169
ENSMUSG00000002489	PF18385
ENSMUSG00000024598	PF00683
ENSMUSG00000024598	PF12662
ENSMUSG00000024598	PF12661
ENSMUSG00000024598	PF18193
ENSMUSG00000024598	PF12947
ENSMUSG00000024598	PF07645
ENSMUSG00000042514	PF01344
ENSMUSG00000042514	PF07707
ENSMUSG00000042514	PF00651
ENSMUSG00000024600	PF13193
ENSMUSG00000024600	PF00501
ENSMUSG00000022805	PF14738
ENSMUSG00000046516	PF05051
ENSMUSG00000024601	PF00857
ENSMUSG00000095464	PF05051
ENSMUSG00000022982	PF00080
ENSMUSG00000022803	PF04831
ENSMUSG00000033863	PF00096
ENSMUSG00000053441	PF01562
ENSMUSG00000053441	PF05986
ENSMUSG00000053441	PF01421
ENSMUSG00000053441	PF19030
ENSMUSG00000053441	PF00090
ENSMUSG00000053441	PF17771
ENSMUSG00000006456	PF00076
ENSMUSG00000002847	PF00151
ENSMUSG00000002844	PF03747
ENSMUSG00000075122	PF07686
ENSMUSG00000075122	PF08205
ENSMUSG00000002846	PF02466
ENSMUSG00000025075	PF00008
ENSMUSG00000025075	PF00089
ENSMUSG00000025075	PF00051
ENSMUSG00000034064	PF05686
ENSMUSG00000050875	PF06789
ENSMUSG00000058152	PF05679
ENSMUSG00000034108	PF00403
ENSMUSG00000034108	PF00080
ENSMUSG00000073555	PF05049
ENSMUSG00000068606	PF05049
ENSMUSG00000090942	PF05049
ENSMUSG00000067872	PF03999
ENSMUSG00000022983	PF04818
ENSMUSG00000022983	PF00076
ENSMUSG00000045215	PF13919
ENSMUSG00000045215	PF13922
ENSMUSG00000045215	PF05066
ENSMUSG00000083282	PF00112
ENSMUSG00000083282	PF08246
ENSMUSG00000054072	PF05049
ENSMUSG00000038059	PF17307
ENSMUSG00000020601	PF00069
ENSMUSG00000053414	PF00069
ENSMUSG00000006457	PF08726
ENSMUSG00000006457	PF00435
ENSMUSG00000006457	PF00307
ENSMUSG00000022978	PF03226
ENSMUSG00000024603	PF05502
ENSMUSG00000039956	PF15183
ENSMUSG00000002845	PF10271
ENSMUSG00000020956	PF02580
ENSMUSG00000035148	PF00001
ENSMUSG00000024943	PF02463
ENSMUSG00000024604	PF00076
ENSMUSG00000049173	PF05556
ENSMUSG00000006463	PF01529
ENSMUSG00000054008	PF12062
ENSMUSG00000054008	PF00685
ENSMUSG00000039929	PF11707
ENSMUSG00000039929	PF16201
ENSMUSG00000033207	PF00629
ENSMUSG00000071234	PF04505
ENSMUSG00000033053	PF15139
ENSMUSG00000024608	PF00411
ENSMUSG00000074925	PF01239
ENSMUSG00000035142	PF10609
ENSMUSG00000021242	PF02221
ENSMUSG00000021241	PF01521
ENSMUSG00000006464	PF14779
ENSMUSG00000035133	PF00620
ENSMUSG00000035133	PF16512
ENSMUSG00000035133	PF01846
ENSMUSG00000035133	PF19518
ENSMUSG00000035133	PF00071
ENSMUSG00000024897	PF00595
ENSMUSG00000024897	PF00640
ENSMUSG00000061603	PF00435
ENSMUSG00000071604	PF04103
ENSMUSG00000021010	PF08447
ENSMUSG00000021010	PF00989
ENSMUSG00000035105	PF13640
ENSMUSG00000068114	PF15002
ENSMUSG00000024302	PF00569
ENSMUSG00000024302	PF09068
ENSMUSG00000024302	PF09069
ENSMUSG00000044408	PF11779
ENSMUSG00000018830	PF01576
ENSMUSG00000018830	PF02736
ENSMUSG00000018830	PF00063
ENSMUSG00000033063	PF02210
ENSMUSG00000033063	PF00754
ENSMUSG00000022799	PF00620
ENSMUSG00000063904	PF03571
ENSMUSG00000024610	PF00086
ENSMUSG00000024610	PF09307
ENSMUSG00000024610	PF08831
ENSMUSG00000022677	PF09398
ENSMUSG00000047094	PF15680
ENSMUSG00000009575	PF01393
ENSMUSG00000009575	PF00385
ENSMUSG00000022793	PF13733
ENSMUSG00000022793	PF02709
ENSMUSG00000079105	PF00057
ENSMUSG00000079105	PF01823
ENSMUSG00000079105	PF00090
ENSMUSG00000079105	PF18434
ENSMUSG00000079105	PF00084
ENSMUSG00000002020	PF00683
ENSMUSG00000002020	PF12661
ENSMUSG00000002020	PF07645
ENSMUSG00000002020	PF00008
ENSMUSG00000041849	PF00619
ENSMUSG00000024277	PF03271
ENSMUSG00000024277	PF00307
ENSMUSG00000056223	PF14650
ENSMUSG00000041841	PF01907
ENSMUSG00000057762	PF01284
ENSMUSG00000024812	PF00625
ENSMUSG00000024812	PF00595
ENSMUSG00000024812	PF07653
ENSMUSG00000074849	PF14650
ENSMUSG00000074849	PF15371
ENSMUSG00000024276	PF02023
ENSMUSG00000024276	PF00096
ENSMUSG00000050697	PF00069
ENSMUSG00000050697	PF16579
ENSMUSG00000060739	PF01201
ENSMUSG00000063281	PF00096
ENSMUSG00000063281	PF13912
ENSMUSG00000090658	PF00089
ENSMUSG00000051469	PF02023
ENSMUSG00000051469	PF00096
ENSMUSG00000054302	PF10238
ENSMUSG00000039903	PF14851
ENSMUSG00000039903	PF02140
ENSMUSG00000024901	PF04710
ENSMUSG00000047989	PF08265
ENSMUSG00000038212	PF07690
ENSMUSG00000059363	PF01491
ENSMUSG00000049436	PF00335
ENSMUSG00000108426	PF13853
ENSMUSG00000022798	PF17819
ENSMUSG00000049806	PF13853
ENSMUSG00000022463	PF00010
ENSMUSG00000024902	PF03946
ENSMUSG00000024902	PF00298
ENSMUSG00000017843	PF01603
ENSMUSG00000022972	PF11069
ENSMUSG00000045903	PF08447
ENSMUSG00000022790	PF13927
ENSMUSG00000022790	PF07686
ENSMUSG00000021359	PF03299
ENSMUSG00000061080	PF07679
ENSMUSG00000061080	PF13927
ENSMUSG00000024867	PF01504
ENSMUSG00000048572	PF15664
ENSMUSG00000032999	PF05729
ENSMUSG00000032999	PF02758
ENSMUSG00000032999	PF17779
ENSMUSG00000032999	PF17776
ENSMUSG00000032999	PF13516
ENSMUSG00000024613	PF03546
ENSMUSG00000041731	PF02880
ENSMUSG00000041731	PF02878
ENSMUSG00000041731	PF02879
ENSMUSG00000058927	PF00034
ENSMUSG00000051490	PF00250
ENSMUSG00000036412	PF00884
ENSMUSG00000022369	PF14920
ENSMUSG00000022369	PF14918
ENSMUSG00000022369	PF14919
ENSMUSG00000005656	PF09325
ENSMUSG00000005656	PF00787
ENSMUSG00000021360	PF02485
ENSMUSG00000096883	PF13908
ENSMUSG00000060429	PF00595
ENSMUSG00000060429	PF18012
ENSMUSG00000060429	PF00169
ENSMUSG00000021514	PF02023
ENSMUSG00000021514	PF00096
ENSMUSG00000021514	PF01352
ENSMUSG00000000420	PF00652
ENSMUSG00000000420	PF00535
ENSMUSG00000024273	PF15719
ENSMUSG00000068105	PF09256
ENSMUSG00000023088	PF00005
ENSMUSG00000023088	PF00664
ENSMUSG00000040446	PF16566
ENSMUSG00000040446	PF04818
ENSMUSG00000042350	PF00630
ENSMUSG00000042350	PF00632
ENSMUSG00000022367	PF03142
ENSMUSG00000047261	PF06614
ENSMUSG00000047261	PF00612
ENSMUSG00000047261	PF10580
ENSMUSG00000024270	PF02535
ENSMUSG00000041138	PF00085
ENSMUSG00000041138	PF00334
ENSMUSG00000022676	PF00096
ENSMUSG00000056380	PF00001
ENSMUSG00000038683	PF00400
ENSMUSG00000018707	PF08385
ENSMUSG00000018707	PF12777
ENSMUSG00000018707	PF18199
ENSMUSG00000018707	PF12775
ENSMUSG00000018707	PF18198
ENSMUSG00000018707	PF08393
ENSMUSG00000018707	PF12781
ENSMUSG00000018707	PF17852
ENSMUSG00000018707	PF12780
ENSMUSG00000018707	PF03028
ENSMUSG00000018707	PF12774
ENSMUSG00000033965	PF07690
ENSMUSG00000068617	PF00036
ENSMUSG00000068617	PF13499
ENSMUSG00000046434	PF00076
ENSMUSG00000046434	PF11627
ENSMUSG00000094472	PF03372
ENSMUSG00000047462	PF00001
ENSMUSG00000062929	PF00241
ENSMUSG00000063905	PF00096
ENSMUSG00000063905	PF13894
ENSMUSG00000073257	PF04803
ENSMUSG00000039942	PF00001
ENSMUSG00000021361	PF03647
ENSMUSG00000053101	PF00001
ENSMUSG00000073131	PF09446
ENSMUSG00000021243	PF04900
ENSMUSG00000073255	PF04803
ENSMUSG00000024617	PF00069
ENSMUSG00000024617	PF08332
ENSMUSG00000022366	PF07690
ENSMUSG00000058794	PF03131
ENSMUSG00000035021	PF10537
ENSMUSG00000035021	PF00439
ENSMUSG00000035021	PF02791
ENSMUSG00000035021	PF00628
ENSMUSG00000035021	PF15612
ENSMUSG00000035021	PF15613
ENSMUSG00000049134	PF00880
ENSMUSG00000049134	PF00412
ENSMUSG00000022973	PF02383
ENSMUSG00000022973	PF08952
ENSMUSG00000022973	PF03372
ENSMUSG00000041380	PF00001
ENSMUSG00000052026	PF00209
ENSMUSG00000041112	PF04727
ENSMUSG00000041112	PF16457
ENSMUSG00000041112	PF11841
ENSMUSG00000024619	PF04731
ENSMUSG00000024619	PF00046
ENSMUSG00000056537	PF13639
ENSMUSG00000022674	PF00179
ENSMUSG00000068101	PF11111
ENSMUSG00000071757	PF18387
ENSMUSG00000071757	PF00046
ENSMUSG00000094759	PF04803
ENSMUSG00000094391	PF00651
ENSMUSG00000033361	PF00594
ENSMUSG00000021322	PF00657
ENSMUSG00000021322	PF03489
ENSMUSG00000021270	PF02518
ENSMUSG00000021270	PF00183
ENSMUSG00000022365	PF04511
ENSMUSG00000095754	PF02513
ENSMUSG00000042869	PF13853
ENSMUSG00000046449	PF15735
ENSMUSG00000022673	PF14551
ENSMUSG00000022673	PF17855
ENSMUSG00000022673	PF17207
ENSMUSG00000022673	PF00493
ENSMUSG00000024271	PF00400
ENSMUSG00000062198	PF01739
ENSMUSG00000021520	PF02271
ENSMUSG00000118441	PF00651
ENSMUSG00000074826	PF15320
ENSMUSG00000024891	PF01733
ENSMUSG00000118465	PF00651
ENSMUSG00000060992	PF01217
ENSMUSG00000060404	PF13853
ENSMUSG00000096645	PF02513
ENSMUSG00000071522	PF13853
ENSMUSG00000063234	PF00001
ENSMUSG00000045474	PF13853
ENSMUSG00000118431	PF00651
ENSMUSG00000039616	PF00266
ENSMUSG00000039616	PF03476
ENSMUSG00000039616	PF03473
ENSMUSG00000047379	PF13896
ENSMUSG00000095770	PF02513
ENSMUSG00000118402	PF00651
ENSMUSG00000000552	PF12874
ENSMUSG00000024878	PF02492
ENSMUSG00000024878	PF07683
