YBR024W	PF02630
YDL245C	PF00083
YBR021W	PF02133
YKL119C	PF11712
YPR031W	PF10513
YPR031W	PF13831
YPR031W	PF13832
YJL076W	PF10407
YPL174C	PF01302
YIL003W	PF10609
YBR140C	PF00616
YKL029C	PF00390
YKL029C	PF03949
YPL028W	PF00108
YPL028W	PF02803
YDL235C	PF01627
YER091C	PF01717
YER091C	PF08267
YMR121C	PF00827
YDR356W	PF18520
YDR337W	PF00312
YKL008C	PF03798
YKL008C	PF08390
YER055C	PF01634
YER055C	PF08029
YFR004W	PF01398
YFR004W	PF13012
YDR108W	PF12739
YDL200C	PF01035
YDL200C	PF02870
YJR134C	PF12325
YJR134C	PF12329
YMR135C	PF10607
YGR012W	PF00291
YNL244C	PF01253
YCR024C-A	PF08114
YOR027W	PF00515
YOR027W	PF13181
YOR027W	PF17830
YLL040C	PF06650
YLL040C	PF12624
YLL040C	PF16908
YLL040C	PF16909
YLL040C	PF16910
YDR181C	PF15460
YJL210W	PF04757
YLR216C	PF00160
YMR021C	PF00649
YNL079C	PF12718
YBL058W	PF00789
YBL058W	PF08059
YBL058W	PF14555
YJR127C	PF04082
YLR088W	PF04114
YKL128C	PF00300
YLR100W	PF00106
YBR080C	PF00004
YBR080C	PF02933
YBR080C	PF17862
YOR292C	PF04117
YNL219C	PF03901
YPR179C	PF11496
YOL062C	PF00928
YDR540C	PF08020
YER087W	PF00587
YOL140W	PF00202
YFL009W	PF00400
YFL009W	PF12937
YFL009W	PF16856
YLL004W	PF18137
YKL057C	PF11715
YDL046W	PF02221
YPL072W	PF00443
YGL157W	PF01370
YDR252W	PF01849
YLR037C	PF00660
YMR307W	PF03198
YMR307W	PF07983
YIL116W	PF00155
YAL040C	PF00134
YGL232W	PF02926
YHR181W	PF04148
YPL259C	PF00928
YPL259C	PF01217
YJL087C	PF08302
YJL087C	PF08303
YJL087C	PF09511
YIR005W	PF00076
YDL080C	PF00205
YDL080C	PF02775
YDL080C	PF02776
YLR286C	PF00704
YLR286C	PF03427
YEL044W	PF08265
YLR071C	PF08638
YBL050W	PF14938
YOR025W	PF02146
YHL001W	PF01929
YJR042W	PF07575
YNL185C	PF00298
YNL185C	PF03946
YBR129C	PF00169
YKL145W	PF00004
YKL145W	PF17862
YIL015W	PF00026
YLR160C	PF00710
YLR160C	PF17763
YIL047C	PF03105
YIL047C	PF03124
YOR061W	PF00069
YDR068W	PF03909
YJL128C	PF00069
YPL228W	PF02940
YML036W	PF08617
YKL114C	PF01261
YCR105W	PF00107
YCR105W	PF08240
YDR248C	PF01583
YPL199C	PF01713
YPL199C	PF08590
YNL136W	PF07904
YLL045C	PF01248
YNL264C	PF00650
YNL264C	PF03765
YLR320W	PF09462
YBR028C	PF00069
YBR028C	PF00433
YLL013C	PF00806
YKR067W	PF01553
YLR040C	PF00660
YMR093W	PF00400
YMR093W	PF09384
YCL054W	PF01728
YCL054W	PF07780
YCL054W	PF11861
YIL072W	PF02301
YCR016W	PF10180
YEL020C	PF00205
YEL020C	PF02775
YEL020C	PF02776
YDL136W	PF00831
YOR076C	PF00009
YDR104C	PF15404
YDR104C	PF15407
YBR279W	PF03985
YGR249W	PF00447
YLR456W	PF01243
YGR283C	PF02598
YKR023W	PF06221
YGR028W	PF00004
YGR028W	PF17862
YDR052C	PF07535
YDR052C	PF08630
YJL102W	PF00009
YJL102W	PF00679
YJL102W	PF03144
YJL102W	PF14492
YNL336W	PF00674
YGL006W	PF00122
YGL006W	PF00689
YGL006W	PF00690
YGL006W	PF00702
YGL006W	PF13246
YDR217C	PF00533
YDR217C	PF08605
YOR223W	PF10302
YOR223W	PF13373
YBR260C	PF00611
YBR260C	PF00620
YLR359W	PF00206
YLR359W	PF10397
YHR062C	PF01876
YDR022C	PF09795
YDR459C	PF01529
YDR293C	PF00773
YDR293C	PF17849
YDR293C	PF17877
YPL195W	PF01602
YAL007C	PF01105
YGL134W	PF08613
YER001W	PF11051
YHR023W	PF00063
YDR430C	PF00675
YDR430C	PF05193
YDR430C	PF08367
YGR002C	PF16282
YNL220W	PF00709
YHR110W	PF01105
YLL067C	PF00271
YPL078C	PF05405
YBR073W	PF00176
YBR073W	PF00271
YBR073W	PF10382
YPL119C	PF00270
YPL119C	PF00271
YPL212C	PF01416
YGL179C	PF00069
YFR048W	PF02582
YDR016C	PF08649
YKL215C	PF01968
YKL215C	PF02538
YKL215C	PF05378
YKL215C	PF19278
YML035C	PF19326
YDL059C	PF04098
YOR257W	PF13499
YIL172C	PF00128
YHR157W	PF17378
YPR152C	PF00397
YPR152C	PF01846
YPL008W	PF06733
YPL008W	PF13307
YGL032C	PF17366
YEL077C	PF00271
YOR148C	PF12656
YHL048W	PF00674
YML062C	PF05615
YBL095W	PF03061
YAR028W	PF00674
YGR054W	PF08662
YOR096W	PF01251
YMR022W	PF00179
YCR027C	PF00071
YDL183C	PF10173
YNL278W	PF00169
YLR395C	PF02935
YDR446W	PF15463
YPL106C	PF00012
YIR021W	PF09159
YDR441C	PF00156
YOR299W	PF09295
YLR047C	PF01794
YEL023C	PF09994
YDR411C	PF04511
YKL025C	PF18101
YLR225C	PF08622
YLR225C	PF17187
YPR029C	PF01602
YPR029C	PF02883
YDR088C	PF11708
YFL004W	PF02656
YFL004W	PF09359
YDR369C	PF00498
YNL027W	PF00096
YAL064C-A	PF07691
YKL171W	PF00069
YOR353C	PF10428
YOR353C	PF12799
YJR132W	PF03810
YNL333W	PF01680
YCL038C	PF11700
YBL035C	PF04042
YBL035C	PF08418
YJL092W	PF00580
YJL092W	PF13361
YGL010W	PF06127
YDR379W	PF00412
YDR379W	PF00620
YDL029W	PF00022
YDR205W	PF01545
YJL031C	PF01239
YLR016C	PF00498
YOL116W	PF12550
YGR019W	PF00202
YMR137C	PF07522
YLR034C	PF01566
YOL041C	PF00076
YDL198C	PF00153
YHR118C	PF05460
YJL097W	PF04387
YDL120W	PF01491
YPR016C	PF01912
YAL012W	PF01053
YJL148W	PF08208
YDR421W	PF00172
YGL051W	PF00674
YER058W	PF15786
YNL243W	PF01608
YNL243W	PF07651
YGL220W	PF01722
YER110C	PF03810
YLL027W	PF01521
YOL060C	PF01595
YBL049W	PF03226
YOL102C	PF01885
YGR065C	PF07690
YMR292W	PF04178
YBL021C	PF00808
YPR026W	PF03632
YPR026W	PF03633
YPR026W	PF03636
YLR421C	PF04683
YPR154W	PF00018
YAL058W	PF00262
YJR055W	PF04438
YJR055W	PF18268
YMR273C	PF08632
YHL008C	PF01226
YNL212W	PF08553
YNL212W	PF17747
YNL212W	PF17748
YDR429C	PF00076
YDR429C	PF12353
YCL027W	PF00018
YCR030C	PF10291
YGR048W	PF03152
YPL249C	PF00566
YLR165C	PF00849
YDR263C	PF00752
YDR263C	PF00867
YBR187W	PF01169
YOR244W	PF01853
YOR244W	PF11717
YOR244W	PF17772
